player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
0,3,0,0,0,0,1,0,0,1.5,0,0,0,0,0,0,0,15
tyriq,28,9,3,8,9,3,1,3,0.5434782608695652,0,4,5,5,7,0,6,10.108695652173912
joey,8,8,1,1,3,2,0,0,0.5714285714285714,0,0,8,4,0,1,0,21.25
pope,4,8,2,2,4,0,0,0,0.25,0,2,6,2,1,0,5,4
eman,13,5,0,1,3,3,0,2,0.7857142857142857,0,2,3,2,1,0,1,15
nick,10,6,3,2,7,2,0,0,0.35714285714285715,0,2,4,2,1,0,1,5.7142857142857135
dom,23,11,2,6,0,3,0,2,0.9545454545454546,0,6,5,3,2,0,2,19.444444444444443
chosen,6,1,0,1,1,1,1,1,0.8333333333333334,0,0,1,1,0,0,0,15
0,10,2,1,2,6,2,0,0,0.45454545454545453,0,1,1,0,0,0,0,4.411764705882353
10,14,2,3,1,4,4,2,0,0.5833333333333334,0,1,1,0,0,0,0,6.428571428571428
33,9,1,0,0,1,3,0,0,1.125,0,1,0,0,0,0,0,13.5
mike,14,2,2,4,10,2,0,0,0.3888888888888889,0,2,0,0,0,0,0,2.307692307692308
x,23,3,5,4,4,5,0,0,0.6388888888888888,0,1,2,0,1,0,3,6.428571428571428
q,7,0,3,2,2,1,0,0,0.4375,0,0,0,1,0,0,0,3.75
nick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-15
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
