player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
tariq,8,4,0,4,0,0,0,0,1,1,2,2,1,0,0,3,16
tc,10,12,5,3,6,1,0,1,0.3,0.3333333333333333,1,11,4,5,0,0,11.294117647058824
jeff,2,4,1,1,1,0,0,0,0.3333333333333333,0.3333333333333333,3,1,1,1,1,0,21.333333333333332
dylan,9,7,2,3,2,1,0,0,0.5625,0.5625,0,7,0,2,0,0,16
kelo,11,2,2,1,9,3,2,0,0.36666666666666664,0.3463476070528967,2,0,1,0,0,1,2.526315789473684
pope,0,3,2,0,2,0,0,0,0,0,1,2,1,0,0,0,0
ryan,2,3,0,1,2,0,0,0,0.3333333333333333,0.3333333333333333,0,3,3,1,0,2,9.6
chris,13,8,3,6,0,0,1,1,0.6666666666666666,0.6885593220338984,5,3,1,2,0,0,21.6
riqq,14,2,0,0,3,4,0,2,0.8571428571428571,1,0,2,0,2,0,2,9.066666666666666
chosen,2,2,1,1,2,0,0,0,0.25,0.25,0,2,0,0,0,0,4
