time,team,player,event,against,notes
0:00:00,Off in Public,ev,checked_in,,
0:00:00,Off in Public,eli,checked_in,,
1:00:00,Off in Public,joey,checked_in,,
2:00:00,Off in Public,jeff,checked_in,,
3:00:00,Off in Public,pope,checked_in,,
1:14:00,Off in Public,eli,3pt_made,,
1:18:00,B-Ball team,player 42,3pt_made ,joey,
1:33:00,Off in Public,joey,3pt_attempt,,
1:41:00,B-Ball team,player 42,turnover,,
1:42:00,Off in Public,pope,steal,,
1:42:00,B-Ball team,player #12,steal,,
1:45:00,Off in Public,pope,turnover,,
1:47:00,B-Ball team,player X,3pt_attempt,,
1:50:00,Off in Public,eli,defensive_rebound,,
1:51:00,Off in Public,ev,2pt_made,,
2:35:00,B-Ball team,playerX,2pt_made,jeff,
2:56:00,Off in Public,eli,3pt_attempt,,
2:57:00,Off in Public,joey,offensive_rebound,,
2:58:00,Off in Public,joey,2pt_attempt,,
3:15:00,B-Ball team,player 42,foul,,
3:30:00,B-Ball team,player 42,foul,,
3:55:00,Off in Public,ev,2pt_attempt,,
4:03:00,Off in Public,eli,defensive_rebound,,
4:28:00,Off in Public,eli,assist,,
4:28:00,Off in Public,joey,3pt_made,,
4:42:00,Off in Public,eli,block,,
4:46:00,Off in Public,joey,3pt_attempt,,
4:52:00,Off in Public,joey,offensive_rebound,,
4:52:00,Off in Public,joey,2pt_attempt,,
4:53:00,Off in Public,joey,2pt_made,,
5:10:00,Off in Public,jeff,defensive_rebound,,
5:26:00,Off in Public,eli,3pt_attempt,,
5:38:00,B-Ball team,player 1,3pt_made,jeff,
5:48:00,Off in Public,eli,assist,,
5:48:00,Off in Public,joey,2pt_made,,
6:18:00,Off in Public,chris,checked_in,,
6:18:00,Off in Public,pope,checked_out,,
6:28:00,Off in Public,joey,3pt_attempt,,
6:37:00,Off in Public,chris,block,,
6:44:00,B-Ball team,player 4,3pt_made,Ev,
6:50:00,Off in Public,eli,2pt_made,,
7:05:00,Off in Public,ev,defensive_rebound,,
7:09:00,Off in Public,jeff,3pt_attempt,,
7:10:00,Off in Public,joey,offensive_rebound,,
7:10:00,Off in Public,joey,2pt_made,,
7:22:00,Off in Public,ev,defensive_rebound,,
7:25:00,Off in Public,eli,3pt_attempt,,
7:42:00,Off in Public,eli,steal,,
7:46:00,Off in Public,eli,2pt_attempt,,
7:57:00,Off in Public,chris,defensive_rebound,,
8:05:00,Off in Public,ev,3pt_attempt,,
8:06:00,Off in Public,eli,offensive_rebound,,
8:06:00,Off in Public,eli,2pt_made,,
8:21:00,B-Ball team,player #1,3pt_made,Eli,
8:36:00,Off in Public,ev,turnover,,
8:40:00,Off in Public,ryan,checked_in,,
8:40:00,Off in Public,eman,checked_in,,
8:40:00,Off in Public,eli,checked_out,,
8:40:00,Off in Public,jeff,checked_out,,
8:55:00,B-Ball team,player #4,3pt_made,chris,illegal screen
9:07:00,Off in Public,joey,3pt_made,,
9:38:00,Off in Public,ev,block,,
9:39:00,Off in Public,eman,defensive_rebound,,
9:44:00,Off in Public,joey,3pt_made,,
10:02:00,B-Ball team,player X,2pt_made,Ev,
10:30:00,Off in Public,joey,ft_attempt,,
10:38:00,Off in Public,joey,ft_made,,
10:58:00,Off in Public,joey,defensive_rebound,,
11:02:00,Off in Public,joey,assist,,
11:02:00,Off in Public,chris,2pt_made,,
11:28:00,Off in Public,joey,foul,,
12:18:00,Off in Public,chris,steal,,
13:20:00,Off in Public,pope,2pt_made,,
13:45:00,Off in Public,pope,defensive_rebound,,
13:49:00,Off in Public,pope,assist,,
13:49:00,Off in Public,ryan,2pt_made,,
14:15:00,B-Ball team,jacoby,ft_made,,
14:30:00,Off in Public,joey,defensive_rebound,,
14:34:00,Off in Public,joey,3pt_attempt,,
14:37:00,Off in Public,pope,offensive_rebound,,
14:44:00,Off in Public,joey,assist,,
14:45:00,Off in Public,chris,2pt_made,,
14:59:00,Off in Public,chris,steal,,
15:06:00,Off in Public,chris,assist,,
15:06:00,Off in Public,joey,3pt_made,,
15:23:00,Off in Public,joey,defensive_rebound,,
15:26:00,Off in Public,joey,assist,,
15:27:00,Off in Public,chris,2pt_made,,
16:30:00,Off in Public,joey,checked_out,,
16:30:00,Off in Public,eli,checked_in,,
16:30:00,Off in Public,jeff,checked_in,,
16:30:00,Off in Public,eman,checked_out,,
16:53:00,Off in Public,chris,block,,
16:53:00,Off in Public,chris,block,,
17:20:00,Off in Public,chris,block,,
17:25:00,Off in Public,jeff,assist,,
17:25:00,Off in Public,pope,2pt_made,,
17:48:00,Off in Public,pope,ft_attempt,,
17:50:00,Off in Public,ryan,offensive_rebound,,
18:27:00,Off in Public,ev,checked_in,,
18:27:00,Off in Public,eman,checked_in,,
18:27:00,Off in Public,chris,checked_out,,
18:27:00,Off in Public,ryan,checked_out,,
18:39:00,B-Ball team,player 42,2pt_made,pope,
19:00:00,Off in Public,pope,3pt_attempt,,
19:13:00,Off in Public,pope,defensive_rebound,,
19:20:00,Off in Public,eli,assist,,
19:20:00,Off in Public,ev,3pt_made,,
19:30:00,Off in Public,eman,defensive_rebound,,
19:38:00,Off in Public,jeff,assist,,
19:38:00,Off in Public,ev,3pt_made,,
19:48:00,Off in Public,jeff,steal,,
19:52:00,Off in Public,eli,2pt_made,,
20:10:00,Off in Public,ev,steal,,
20:30:00,Off in Public,ev,assist,,
20:31:00,Off in Public,eli,3pt_made,,
20:43:00,Off in Public,pope,defensive_rebound,,
20:50:00,Off in Public,pope,turnover,,
21:07:00,Off in Public,chris,checked_in,,
21:07:00,Off in Public,pope,checked_out,,
21:23:00,Off in Public,eli,3pt_attempt,,
0:00:00,Off in Public,joey,checked_in,,
0:00:00,Off in Public,eli,checked_in,,
0:00:00,Off in Public,ryan,checked_in,,
0:00:00,Off in Public,chris,checked_in,,
0:00:00,Off in Public,ev,checked_in,,
0:14:00,Off in Public,ryan,3pt_attempt,,
0:23:00,B-Ball team,scott,2pt_made,joey,
0:32:00,Off in Public,eli,2pt_attempt,,
0:47:00,B-Ball team,,turnover,,
0:47:00,Off in Public,ev,steal,,
0:52:00,Off in Public,ev,assist,,
0:52:00,Off in Public,chris,2pt_made,,
1:15:00,B-Ball team,#6,turnover,,
1:25:00,Off in Public,ryan,assist,,
1:25:00,Off in Public,joey,3pt_made,,
1:40:00,B-Ball team,#43,3pt_made,ryan,
1:52:00,Off in Public,joey,2pt_attempt,,
2:00:00,B-Ball team,#42,3pt_attempt,,
2:03:00,B-Ball team,#6,offensive_rebound,,
2:05:00,B-Ball team,#12,3pt_attempt,,
2:07:00,Off in Public,chris,defensive_rebound,,
2:11:00,Off in Public,chris,2pt_made,,
2:20:00,B-Ball team,4,assist,,
2:21:00,B-Ball team,jacoby,2pt_made,ev,
2:38:00,Off in Public,joey,2pt_attempt,,
2:53:00,Off in Public,ev,2pt_attempt,,
2:55:00,B-Ball team,scott,defensive_rebound,,
3:00:00,B-Ball team,scott,2pt_made,joey,
3:11:00,Off in Public,eli,foul,,
3:29:00,B-Ball team,jacoby,3pt_attempt,,
3:30:00,Off in Public,joey,defensive_rebound,,
3:34:00,Off in Public,chris,assist,,
3:35:00,Off in Public,ev,3pt_made,,
3:54:00,B-Ball team,jacoby,2pt_made,---,
4:00:00,Off in Public,joey,2pt_made,,
4:11:00,Off in Public,ev,steal,,
4:20:00,Off in Public,joey,turnover,,
4:20:00,B-Ball team,#12,steal,,
4:23:00,B-Ball team,#12,assist,,
4:24:00,B-Ball team,jacoby,2pt_made,,
4:40:00,Off in Public,joey,3pt_attempt,,
4:46:00,B-Ball team,#12,3pt_attempt,,
4:48:00,Off in Public,joey,defensive_rebound,,
4:53:00,Off in Public,eli,3pt_attempt,,
4:56:00,Off in Public,ev,offensive_rebound,,
4:56:00,Off in Public,ev,2pt_made,,
5:10:00,Off in Public,pope,checked_in,,
5:10:00,Off in Public,jeff,checked_in,,
5:10:00,Off in Public,eman,checked_in,,
5:10:00,Off in Public,joey,checked_out,,
5:10:00,Off in Public,ryan,checked_out,,
5:10:00,Off in Public,chris,checked_out,,
5:27:00,Off in Public,jeff,block,,
5:27:00,Off in Public,jeff,defensive_rebound,,
5:33:00,Off in Public,jeff,turnover,,missed call
5:36:00,B-Ball team,#12,3pt_made,eman,
5:48:00,Off in Public,ev,3pt_attempt,,
5:49:00, b-ball team,scott,defensive_rebound,,
6:00:00,B-Ball team,jacoby,2pt_attempt,,
6:01:00,off in Public,ev,defensive_rebound,,
6:04:00,off in Public,ev,2pt_attempt,,
6:12:00,B-Ball team,jacoby,2pt_attempt,,
6:16:00,off in Public,eli,3pt_attempt,,
6:18:00,off in Public,pope,offensive_rebound,,
6:22:00,off in Public,eman,assist,,
6:23:00,off in Public,eli,2pt_made,,
6:37:00,off in Public,jeff,foul,,
7:00:00,B-Ball team,scott,ft_made,,
7:00:00,B-Ball team,scott,ft_attempt,,
7:11:00,off in Public,ev,defensive_rebound,,
7:20:00,off in Public,eman,2pt_made,,
7:42:00,off in Public,eman,ft_attempt,,
7:43:00,off in Public,pope,offensive_rebound,,
8:03:00,B-Ball team,#12,3pt_attempt,,
8:04:00,off in Public,ev,defensive_rebound,,
8:09:00,B-Ball team,jacoby,foul,,
9:27:00,off in Public,eli,2pt_attempt,,
9:31:00,B-Ball team,jacoby,defensive_rebound,,
9:37:00,B-Ball team,#12,3pt_made,ev,
10:00:00,off in Public,eman,2pt_made,,
10:01:00,B-Ball team,jacoby,foul,,
10:21:00,off in Public,eman,ft_made,,
10:44:00,B-Ball team,#11,3pt_attempt,,
10:46:00,off in Public,eman,defensive_rebound,,tough call
10:53:00,off in Public,jeff,3pt_attempt,,
10:55:00,off in Public,ev,offensive_rebound,,
10:55:00,off in Public,ev,2pt_made,,
11:03:00,B-Ball team,#1,3pt_attempt,,
11:07:00,B-Ball team,jacoby,offensive_rebound,,
11:16:00,B-Ball team,jacoby,2pt_made,,
11:24:00,off in Public,pope,turnover,,sad panda
11:30:00,off in Public,jeff,steal,,
11:35:00,off in Public,ev,assist,,
11:36:00,off in Public,jeff,2pt_made,,
11:52:00,off in Public,pope,steal,,missed call
11:56:00,off in Public,pope,assist,,
11:58:00,off in Public,eli,3pt_made,,
