half,time,team,player,event,against,notes
1,0:00:00,off in public,pope,checked_in,,
1,0:00:00,off in public,ev,checked_in,,
1,0:00:00,off in public,kelo,checked_in,,
1,0:00:00,off in public,eli,checked_in,,
1,0:00:00,off in public,tariq,checked_in,,
1,1:12:00,off in public,kelo,3pt_attempt,,
1,1:15:00,oldies,player3,defensive_rebound,,
1,1:17:00,oldies,bryce,3pt_attempt,,
1,1:20:00,off in public,tariq,defensive_rebound,,
1,1:25:00,off in public,kelo,2pt_attempt,,
1,1:26:00,off in public,ev,offensive_rebound,,
1,1:31:00,off in public,pope,3pt_attempt,,
1,1:40:00,oldies,player3,2pt_attempt,,
1,2:05:00,oldies,bryce,3pt_attempt,,
1,2:06:00,off in public,pope,defensive_rebound,,
1,2:19:00,off in public,ev,assist,,
1,2:20:00,off in public,tariq,2pt_made,,
1,2:30:00,oldies,bryan,assist,,
1,2:31:00,oldies,player3,2pt_made,,rolled out of a pinch
1,3:41:00,off in public,kelo,2pt_attempt,,
1,3:46:00,oldies,alex,turnover,,
1,3:47:00,off in public,kelo,steal,,
1,3:51:00,off in public,kelo,2pt_made,,
1,4:10:00,off in public,kelo,ft_made,,
1,4:22:00,off in public,pope,steal,,
1,4:34:00,off in public,eli,3pt_attempt,,
1,4:40:00,oldies,bryce,offensive_rebound,,
1,4:53,off in public,ev,2pt_made,,
1,4:58,oldies,bryan,3pt_made,kelo,
1,5:23:00,oldies,doug,3pt_attempt,,
1,5:25:00,off in public,pope,defensive_rebound,,
1,5:26:00,off in public,pope,turnover,,
1,5:35:00,oldies,bryce,3pt_made,ev,
1,5:55:00,off in public,tariq,3pt_attempt,,
1,5:56:00,off in public,ev,rebound,,
1,5:57:00,off in public,ev,2pt_made,,
1,6:03:00,oldies,alex,3pt_made,,broken court/fast break
1,6:20:00,off in public,ev,3pt_made,,
1,6:35:00,oldies,bryce,3pt_attempt,,
1,6:55:00,off in public,eli,3pt_attempt,,
1,6:57:00,off in public,kelo,offensive_rebound,,
1,6:59:00,off in public,kelo,3pt_made,,
1,7:03:00,off in public,tariq,steal,,
1,7:08:00,off in public,eli,turnover,,
1,7:32:00,oldies,bryan,2pt_made,kelo,
1,7:50:00,off in public,ev,2pt_made,,
1,7:57:00,oldies,player3,2pt_made,,broken court/ fast break
1,8:13:00,off in public,kelo,2pt_attempt,,
1,8:14:00,oldies,bryan,defensive_rebound,,
1,8:18:00,oldies,bryce,turnover,,
1,8:34:00,off in public,kelo,2pt_made,,
1,8:47:00,off in public,eli,foul,,bad call
1,8:56:00,oldies,player55,3pt_attempt,,
1,8:57:00,off in public,ev,defensive_rebound,,
1,9:14:00,off in public,kelo,2pt_attempt,,
1,9:25:00,oldies,bryan,3pt_made,ev,
1,10:00:00,off in public,ev,assist,,
1,10:01:00,off in public,kelo,3pt_made,,
1,10:27:00,oldies,bryce,3pt_attempt,,
1,10:35:00,off in public,kelo,2pt_made,,
1,11:00:00,oldies,bryan,ft_made,,
1,11:30:00,oldies,bryan,ft_attempt,,
1,11:36:00,off in public,pope,defensive_rebound,,
1,11:40:00,off in public,pope,assist,,
1,11:41:00,off in public,kelo,3pt_made,,
1,12:00:00,off in public,pope,steal,,
1,12:06:00,off in public,ev,3pt_made,,
1,12:17:00,off in public,pope,foul,,
1,12:32:00,oldies,player3,turnover,,
1,12:45:00,off in public,eli,2pt_attempt,,
1,13:03:00,oldies,alex,3pt_attempt,,
1,13:07:00,off in public,eli,defensive_rebound,,
1,13:15:00,off in public,kelo,3pt_attempt,,
1,13:16:00,off in public,ev,offensive_rebound,,
1,13:17:00,off in public,ev,2pt_attempt,,
1,13:53:00,oldies,doug,2pt_attempt,,
1,13:54:00,off in public,ev,defensive_rebound,,
1,14:00:00,off in public,eli,3pt_made,,
1,14:10:00,oldies,player55,2pt_attempt,,
1,14:11:00,off in public,eli,defensive_rebound,,
1,14:25:00,off in public,ev,3pt_attempt,,
1,14:35:00,oldies,bryce,3pt_made,pope,
1,15:10:00,off in public,kelo,3pt_made,,
1,15:20:00,oldies,bryan,turnover,,
1,15:21:00,off in public,pope,steal,,
1,15:26:00,off in public,eli,3pt_attempt,,
1,15:28:00,off in public,kelo,offensive_rebound,,
1,15:47:00,off in public,eli,ft_attempt,,
1,16:00:00,off in public,eli,ft_made,,
1,16:11:00,oldies,bryce,3pt_attempt,,
1,16:12:00,off in public,tariq,defensive_rebound,,
1,16:22:00,off in public,tariq,2pt_made,,
1,16:37:00,oldies,bryan,2pt_made,kelo,
1,16:45:00,off in public,eli,2pt_attempt,,
1,16:47:00,off in public,pope,offensive_rebound,,tipout
1,16:49:00,off in public,eli,assist,,
1,16:50:00,off in public,kelo,3pt_made,,
1,16:58:00,oldies,doug,turnover,,
1,17:14:00,off in public,eli,turnover,,
1,17:15:00,oldies,doug,steal,,
1,17:24:00,oldies,doug,2pt_attempt,,
1,17:25:00,oldies,player3,offensive_rebound,,
1,17:26:00,oldies,player3,2pt_made,,broken court/ fast break
1,17:34:00,off in public,ev,assist,,
1,17:37:00,off in public,eli,2pt_made,,
1,17:47:00,oldies,bryan,3pt_made,tariq,
1,18:00:00,off in public,eli,assist,,
1,18:01:00,off in public,ev,2pt_made,,
1,18:13:00,oldies,player3,2pt_attempt,,
1,18:15:00,off in public,eli,defensive_rebound,,
1,18:22:00,off in public,eli,2pt_attempt,,
1,18:23:00,off in public,pope,foul,,
1,18:33:00,oldies,bryan,3pt_made,kelo,
1,19:15:00,off in public,pope,ft_made,,
1,19:20:00,off in public,pope,ft_made,,
1,19:47:00,off in public,ev,block,,
1,19:58:00,off in public,ev,steal,,
1,20:00:00,off in public,kelo,3pt_attempt,,
1,20:07:00,off in public,ev,steal,,
1,20:12:00,off in public,ev,2pt_attempt,,
1,20:22:00,oldies,player3,2pt_made,ev,tariq lost the cover
1,20:42:00,off in public,ev,turnover,,bad call
1,21:04:00,oldies,bryce,3pt_attempt,,
1,21:20:00,off in public,ev,2pt_attempt,,
1,21:25:00,off in public,eli,offensive_rebound,,
1,21:27:00,off in public,eli,2pt_attempt,,
1,21:52:00,oldies,bryan,3pt_attempt,,
1,22:00:00,off in public,ev,defensive_rebound,,
2,0:00:00,off in public,pope,checked_in,,
2,0:00:00,off in public,ev,checked_in,,
2,0:00:00,off in public,tariq,checked_in,,
2,0:00:00,off in public,kelo,checked_in,,
2,0:00:00,off in public,eli,checked_in,,
2,0:32:00,off in public,eli,turnover,,
2,0:40:00,oldies,bryce,3pt_attempt,,
2,1:07:00,off in public,kelo,assist,,
2,1:08:00,off in public,tariq,3pt_made,,
2,1:26:00,oldies,player3,2pt_made,ev,
2,1:36:00,off in public,tariq,3pt_attempt,,
2,1:39:00,oldies,player3,defensive_rebound,,
2,1:47:00,oldies,player3,2pt_attempt,,
2,1:48:00,off in public,tariq,defensive_rebound,,
2,1:55:00,off in public,eli,turnover,,
2,2:00:00,oldies,bryan,2pt_attempt,,good defense pope
2,2:05:00,oldies,player3,offensive_rebound,,
2,2:10:00,oldies,bryan,3pt_made,,broken court after missed rebound
2,2:28:00,off in public,tariq,3pt_attempt,,
2,2:50:00,oldies,bryan,3pt_attempt,,
2,3:13:00,off in public,kelo,3pt_attempt,,
2,3:14:00,off in public,pope,offensive_rebound,,
2,3:18:00,off in public,kelo,assist,,
2,3:19:00,off in public,tariq,2pt_made,,
2,3:30:00,oldies,player3,2pt_attempt,,
2,3:31:00,off in public,ev,defensive_rebound,,
2,3:36:00,off in public,eli,3pt_attempt,,
2,3:40:00,off in public,ev,offensive_rebound,,
2,4:00:00,off in public,ev,ft_made,,
2,4:14:00,off in public,ev,ft_made,,
2,4:20:00,off in public,eli,steal,,
2,4:20:00,oldies,bryan,turnover,,
2,4:26:00,off in public,eli,3pt_attempt,,
2,4:28:00,oldies,player3,defensive_rebound,,
2,4:30:00,off in public,eli,steal,,weird one
2,4:30:00,off in public,pope,steal,,weird one
2,4:41:00,off in public,eli, 2pt_attempt,,
2,4:42:00,oldies,doug,defensive_rebound,,
2,4:46:00,oldies,doug,3pt_attempt,,
2,4:47:00,oldies,player3,offensive_rebound,,
2,4:51:00,oldies,bryce,3pt_attempt,,
2,4:52:00,off in public,kelo,defensive_rebound,,
2,5:00:00,off in public,,timeout,,
2,6:23:00,off in public,,time_start,,
2,7:00:00,oldies,,foul,,
2,7:20:00,off in public,kelo,ft_made,,
2,7:30:00,off in public,kelo,ft_made,,
2,7:40:00,oldies,byran,3pt_attempt,,
2,7:44:00,off in public,kelo,defensive_rebound,,
2,7:51:00,off in public,pope,2pt_attempt,,
2,7:52:00,oldies,bryce,block,,
2,8:02:00,oldies,player55,3pt_attempt,,
2,8:03:00,off in public,pope,defensive_rebound,,
2,8:10:00,off in public,kelo,2pt_attempt,,
2,8:18:00,oldies,player3,2pt_made,pope,pope can't jump
2,8:30:00,off in public,eli,3pt_attempt,,bad shot
2,8:31:00,oldies,player55,defensive_rebound,,
2,8:36:00,oldies,bryan,2pt_made,,broken court
2,8:54:00,off in public,kelo,3pt_attempt,,
2,9:00:00,oldies,bryan,3pt_attempt,,
2,9:02:00,off in public,ev,defensive_rebound,,
2,9:22:00,off in public,pope,3pt_attempt,,
2,9:36:00,oldies,player3,3pt_attempt,,
2,9:37:00,off in public,ev,defensive_rebound,,
2,9:48:00,off in public,tariq,3pt_attempt,,
2,9:50:00,oldies,bryce,defensive_rebound,,
2,10:00:00,off in public,eli,turnover,,
2,10:10:00,oldies,bryan,2pt_made,,broken court
2,10:20:00,off in public,,timeout,,
2,11:17:00,off in public,,time start,,
2,12:04:00,off in public,eli,2pt_attempt,,
2,12:09:00,off in public,kelo,steal,,
2,12:13:00,oldies,player55,foul,,
2,12:30:00,off in public,kelo,ft_made,,
2,12:38:00,off in public,kelo,ft_made,,
2,12:50:00,oldies,bryce,3pt_made,,zone
2,13:00:00,off in public,pope,3pt_attempt,,
2,13:14:00,oldies,bryce,3pt_made,,zone
2,13:32:00,off in public,kelo,2pt_made,,
2,13:44:00,oldies,bryce,3pt_attempt,,
2,13:53:00,off in public,eli,2pt_made,,
2,14:16:00,off in public,tariq,foul,,
2,14:40:00,oldies,doug,ft_made,,
2,14:56:00,oldies,doug,ft_made,,
2,15:16:00,off in public,kelo,3pt_attempt,,
2,15:20:00,oldies,bryan,2pt_made,,broken court/ fast break
2,15:30:00,off in public,pope,2pt_attempt,,
2,15:32:00,off in public,pope,offensive_rebound,,took elbow here
2,15:34:00,off in public,pope,assist,,
2,15:38:00,off in public,tariq,2pt_made,,
2,16:00:00,oldies,bryce,3pt_attempt,,
2,16:03:00,oldies,player3,offensive_rebound,,
2,16:05:00,oldies,player3,2pt_attempt,,
2,16:07:00,oldies,player3,offensive_rebound,,
2,16:08:00,oldies,player3,2pt_made,,Ev is injured
2,16:11:00,off in public,eli,turnover,,
2,16:11:00,oldies,bryan,steal,,
2,16:14:00,oldies,doug,2pt_attempt,,
2,16:16:00,off in public,ev,defensive_rebound,,
2,16:24:00,off in public,kelo,2pt_attempt,,
2,16:24:00,off in public,kelo,offensive_rebound,,
2,16:31:00,off in public,kelo,2pt_made,,
2,16:37:00,oldies,player3,2pt_made,,Ev is injured
2,16:48:00,off in public,kelo,3pt_attempt,,
2,16:49:00,oldies,bryce,defensive_rebound,,
2,16:55:00,oldies,doug,2pt_attempt,,
2,17:13:00,oldies,player3,3pt_made,,"screen. evs cover, eli should have hedged"
2,17:31:00,off in public,ev,assist,,
2,17:33:00,off in public,pope,2pt_made,,
2,18:00:00,oldies,player55,3pt_attempt,,
2,18:02:00,off in public,tariq,defensive_rebound,,
2,18:08:00,off in public,eli,3pt_attempt,,
2,18:10:00,off in public,tariq,offensive_rebound,,
2,18:12:00,off in public,tariq,turnover,,
2,18:33:00,oldies,bryce,2pt_made,pope,
2,18:34:00,oldies,bryce,foul,,offensive foul. not called
2,18:59:00,oldies,player55,foul,,
2,19:16:00,off in public,kelo,ft_made,,
2,19:25:00,off in public,kelo,ft_made,,
2,19:50:00,off in public,kelo,3pt_attempt,,
2,20:00:00,oldies,bryce,3pt_attempt,,
2,20:10:00,off in public,kelo,2pt_attempt,,
2,20:20:00,oldies,player55,3pt_made,,Ev is injured
2,20:30:00,off in public,,timeout,,
2,21:23:00,off in public,,time start,,
2,21:39:00,off in public,eli,assist,,
2,21:40:00,off in public,ev,2pt_made,,
2,22:07:00,oldies,bryan,2pt_made,kelo,
2,22:21,off in public,pope,2pt_attempt,,
2,22:27:00,oldies,player3,2pt_made,kelo,
2,22:48:00,off in public,kelo,2pt_attempt,,
2,22:54:00,off in public,tariq,foul,,
2,23:22:00,off in public,tariq,foul,,
2,23:59:00,oldies,player3,2pt_attempt,,
2,23:59:00,oldies,player3,offensive_rebound,,
2,23:59:00,oldies,player3,2pt_attempt,,
2,24:00:00,oldies,bryan,3pt_made,,
