Half,time,team,player,event,against,notes,half
1,0.27,1,carl,2pt_attempt,,,
1,0.28,0,ev,dreb,,,
,0.39,0,ev,2pt_attempt,,,
,0.40,1,1,dreb,,,
,0.53,1,9,3pt_attempt,,,
,0.55,0,ryan,dreb,,,
,1.05,0,dylan,turnover,,,
,1.10,1,1,turnover,,,
,1.31,0,kelo,steal,,,
,1.32,0,kelo,assist,,,
,1.34,0,ev,2pt_made,,,
,1.52,0,dylan,foul,,blocking,
,2.09,1,mike,3pt_made,kelo,,
,2.21,0,dylan,2pt_made,,,
,2.35,1,mike,3pt_attempt,ryan,,
,2.48,0,ryan,3pt_attempt,,,
,2.49,1,9,dreb,,,
,3.09,1,9,2pt_made,,,
,3.21,0,dylan,3pt_made,,,
,4.02,1,carl,2pt_attempt,,,
,4.03,0,tariq,dreb,,,
,4.10,0,kelo,3pt_attempt,,,
,4.24,1,9,3pt_attempt,,,
,4.25,0,kelo,dreb,,,
,4.32,0,kelo,assist,,,
,4.33,0,ev,2pt_made,,,
,4.51,0,kelo,turnover,,,
,5.02,0,dylan,foul,,blocking,
,5.15,0,,subs,,,
,5.30,1,9,ft_made,,,
,5.43,1,9,ft_made,,,
,6.12,1,1,3pt_attempt,,,
,6.13,0,jeff,dreb,,,
,6.22,0,joey,3pt_attempt,,,
,6.23,0,chris,oreb,,,
,6.24,0,chris,2pt_made,,,
,6.38,1,0,2pt_attempt,kelo,,
,6.45,0,ev,turnover,,,
,6.52,1,carl,2pt_made,jeff,,
,7.05,0,kelo,assist,,,
,7.07,0,chris,2pt_made,,and 1,
,7.30,0,chris,ft_made,,,
,7.51,1,1,2pt_made,ev,,
,8.02,0,chris,2pt_attempt,,,
,8.04,0,joey,oreb,,,
,8.10,0,kelo,2pt_attempt,,,
,8.30,1,9,3pt_attempt,,,
,8.31,0,ev,dreb,,,
,8.33,0,kelo,turnover,,,
,8.48,1,carl,2pt_made,jeff,,
,9.20,0,kelo,3pt_attempt,,,
,9.21,0,chris,oreb,,,
,9.23,0,chris,assist,,,
,9.24,0,jeff,3pt_made,,,
,9.44,1,carl,3pt_made,,,
,9.56,0,jeff,2pt_made,,,
,10.30,1,carl,ft_made,,,
,10.45,0,tariq,3pt_attempt,,,
,11.00,1,1,3pt_attempt,,,
,11:11,0,kelo,3pt_made,,,
,11:34,1,mike,2pt_made,tariq,,
,11:40,0,chris,assist,,,
,11:42,0,kelo,2pt_made,,,
,11:54,1,mike,3pt_attempt,,,
,11:55,1,9,oreb,,,
,12:03,1,00,3pt_attempt,,,
,12:04,0,joey,dreb,,,
,12:10,0,jeff,3pt_attempt,,,
,12:18,1,00,2pt_attempt,,,
,12:26,0,tariq,2pt_attempt,,,
,12:49,0,joey,ft_attempt,,,
,13:05,0,joey,ft_made,,,
,13:12,0,jeff,steal,,,
,13:25,0,joey,2pt_attempt,,,
,13:26,0,chris,oreb,,,
,13:27,0,chris,2pt_attempt,,,
,13:28,0,ryan,oreb,,,
,13:33,0,jeff,3pt_attempt,,,
,13:50,1,33,2pt_attempt,,,
,13:51,0,,subs,,,
,14.19,1,00,2pt_made,,,
,14.24 ,0,ryan,assist,,,
,14.25,0,chris,2pt_made,,,
,14.53,1,9,2pt_attempt,,,
,14:54,1,1,oreb,,,
,14:55,1,1,2pt_attempt,,,
,14:56,0,chris,dreb,,,
,15:01,0,chris,assist,,,
,15:02,0,jeff,2pt_made,,,
,15:15,1,carl,2pt_attempt,,,
,15:16,1,33,oreb,,,
,15:21,1,1,3pt_attempt,,,
,15:22,0,ev,dreb,,,
,15:28,0,kelo,2pt_attempt,,,
,15:35,1,,timeout,,,
,17:17,1,33,2pt_attempt,,,
,17:18,0,chris,dreb,,,
,17:28,0,ryan,2pt_made,,,
,17:49,1, mike,3pt_attempt,,,
,17:50,0,ryan,dreb,,,
,18:00,0,chris,2pt_attempt,,,
,18:01,0,chris,oreb,,,
,18:03,0,chris,2pt_attempt,,,
,18:04,0,chris,oreb,,,
,18:05,0,chris,2pt_made,,,
,18:10,1,33,2pt_made,ryan,,
,18:27,0,ev,2pt_attempt,,,
,18:29,0,ryan,oreb,,,
,18:34,0,kelo,2pt_made,,,
,18:45,1,,turnover,,,
,18:50,0,,subs,,,
,19:15,0,kelo,2pt_made,,,
,19:36,1,20,3pt_made,,broken court,
,20:05,0,chris,2pt_attempt,,,
