half,time,team,player,event,against,notes
1,0:00,off in public,ev,checked_in,,
1,0:00,off in public,tariq,checked_in,,
1,0:00,off in public,chris,checked_in,,
1,0:00,off in public,kelo,checked_in,,
1,0:00,off in public,eman,checked_in,,
1,0:17,off in public,ev,foul,offensive foul,
1,0:33,ballers united,cheihk,3pt_attempt,kelo,
1,0:33,off in public,eman,dreb,,
1,0:44,off in public,chris,turnover,,hard call
1,0:53,ballers united,player6,3pt_attempt,ev,
1,0:54,off in public,tariq,dreb,,
1,1:13,off in public,ev,turnover,,
1,1:23,ballers united,player2,3pt_made,chris,
1,1:31,off in public,kelo,2pt_attempt,,
1,1:33,off in public,chris,oreb,,
1,1:34,off in public,chris,2pt_attempt,,
1,1:36,off in public,ev,oreb,,
1,1:42,off in public,ev,3pt_attempt,,
1,1:52,ballers united,player2,3pt_made,ev,
1,2:13,off in public,kelo,turnover,,
1,2:45,ballers united,player23,3pt_attempt,chris,
1,2:48,off in public,eman,dreb,,
1,2:51,off in public,kelo,2pt_made,,
1,3:03,ballers united,player2,3pt_made,ev,missed switch w/ kelo
1,3:17,off in public,chris,2pt_attempt,,
1,3:24,ballers united,player2,3pt_attempt,ev,
1,3:25,off in public,tariq,dreb,,
1,3:30,off in public,kelo,2pt_made,,
1,3:42,ballers united,player23,3pt_attempt,tariq,
1,3:44,ballers united,cheihk,oreb,,
1,4:16,ballers united,player6,2pt_attempt,kelo,
1,4:17,off in public,chris,dreb,,
1,4:20,off in public,chris,2pt_attempt,,bad camera
1,4:24,off in public,tariq,oreb,,
1,4:25,off in public,tariq,2pt_made,,
1,4:35,ballers united,player23,2pt_made,tariq,
1,4:52,off in public,chris,2pt_attempt,,
1,4:53,ballers united,player2,dreb,,
1,5:00,off in public,kelo,foul,,
1,5:15,off in public,eman,checked_out,,
1,5:15,off in public,pope,checked_in,,
1,5:18,ballers united,player23,2pt_made,tariq,tariq dropped the ball
1,5:28,off in public,pope,2pt_attempt,,smoked it
1,5:29,ballers united,cheihk,dreb,,
1,5:37,ballers united,player23,2pt_attempt,kelo,
1,5:39,off in public,tariq,dreb,,
1,5:48,off in public,kelo,2pt_attempt,,smoked it
1,5:54,off in public,pope,charge,,player23
1,6:30,off in public,chris,2pt_attempt,,
1,6:31,off in public,ev,oreb,,
1,6:32,off in public,ev,2pt_made,,
1,6:44,ballers united,player2,3pt_attempt,kelo,
1,6:48,ballers united,cheihk,oreb,,
1,6:50,ballers united,cheihk,3pt_made,chris,
1,7:02,ballers united,player0,foul,,
1,7:20,off in public,kelo,ft_made,,
1,7:30,off in public,kelo,ft_made,,
1,7:45,off in public,pope,foul,,
1,7:46,ballers united,player14,2pt_made,pope,
1,8:03,ballers united,player14,ft_made,,
1,8:17,off in public,kelo,2pt_made,,
1,8:22,ballers united,player2,turnover,,ev caused this one
1,8:41,off in public,kelo,2pt_attempt,,
1,8:50,off in public,,timeout,,
1,10:00,off in public,,timestart,,
1,10:20,off in public,pope,foul,,
1,10:42,off in public,pope,foul,,bad call
1,11:00,ballers united,player14,2pt_made,pope,
1,11:01,ballers united,player14,ft_made,,
1,11:09,off in public,ev,turnover,,
1,11:27,ballers united,player23,turnover,,
1,11:28,off in public,pope,charge,,
1,11:42,off in public,ev,2pt_made,,
1,11:59,ballers united,player14,3pt_attempt,chris,double down low
1,12:00,off in public,pope,dreb,,
1,12:08,off in public,pope,2pt_attempt,,
1,12:10,off in public,chris,foul,,
1,12:45,ballers united,player14,2pt_attempt,chris,
1,12:46,off in public,chris,block,,
1,12:47,off in public,ev,dreb,,
1,12:50,ballers united,cheihk,foul,,
1,13:15,off in public,ev,ft_made,,
1,13:30,off in public,ev,ft_attempt,,
1,13:31,ballers united,player14,dreb,,
1,14:00,off in public,eman,2pt_attempt,,
1,14:14,ballers united,cheihk,3pt_attempt,kelo,switch
1,14:16,off in public,pope,dreb,,
1,14:30,off in public,kelo,3pt_attempt,,
1,14:33,off in public,chris,oreb,,
1,14:34,off in public,chris,2pt_attempt,,
1,14:35,off in public,chris,oreb,,
1,14:36,off in public,chris,2pt_attempt,,
1,14:37,off in public,ev,oreb,,
1,14:37,off in public,ev,2pt_made,,
1,14:58,ballers united,player0,3pt_attempt,eman,
1,15:00,off in public,pope,dreb,,
1,15:10,off in public,pope,assist,,
1,15:12,off in public,ev,2pt_made,,
1,15:43,off in public,kelo,foul,,
1,16:00,ballers united,cheihk,ft_made,,
1,16:10,ballers united,cheihk,ft_attempt,,
1,16:11,off in public,chris,dreb,,
1,16:24,off in public,kelo,2pt_attempt,,
1,16:32,ballers united,player1,2pt_attempt,eman,
1,16:33,off in public,chris,dreb,,
1,17:00,off in public,kelo,ft_made,,
1,17:10,off in public,kelo,ft_made,,
1,17:25,off in public,chris,foul,,
1,17:55,ballers united,player23,ft_made,,
1,18:00,off in public,chris,checked_out,,
1,18:00,off in public,tariq,checked_in,,
1,18:26,ballers united,player23,ft_made,,
1,18:40,off in public,ev,2pt_attempt,,
1,18:50,ballers united,cheihk,3pt_made,ev,35ft
1,19:00,off in public,kelo,2pt_attempt,,
1,19:03,off in public,ev,oreb,,
1,19:07,off in public,ev,2pt_made,,
1,19:22,ballers united,player23,2pt_attempt,tariq,
1,19:23,off in public,tariq,dreb,,
1,19:29,off in public,eman,foul,,offensive foul
1,19:39,off in public,ev,checked_out,,
1,19:39,off in public,chris,checked_in,,
1,19:49,ballers united,player23,2pt_attempt,chris,
1,19:50,off in public,pope,dreb,,
1,19:55,off in public,pope,turnover,,
1,20:02,ballers united,player6,3pt_made,tariq,broken court
1,20:17,off in public,kelo,2pt_attempt,,
1,20:18,ballers united,player3,dreb,,
1,20:30,ballers united,player2,2pt_attempt,chris,
1,20:32,off in public,chris,dreb,,
1,20:58,off in public,chris,2pt_made,,
1,21:15,off in public,chris,charge,,
1,21:15,off in public,chris,checked_out,,
1,21:15,off in public,tariq,checked_out,,
1,21:15,off in public,eman,checked_out,,
1,21:15,off in public,pope,checked_out,,
1,21:15,off in public,kelo,checked_out,,
2,0:33,ballers united,player2,3pt_attempt,ev,
2,0:35,off in public,tariq,dreb,,
2,0:40,off in public,kelo,2pt_attempt,,
2,0:55,off in public,tariq,3pt_attempt,,
2,1:00,ballers united,player23,2pt_attempt,kelo,
2,1:03,off in public,tariq,dreb,,
2,1:21,off in public,kelo,2pt_made,,
2,1:31,ballers united,cheihk,3pt_attempt,kelo,
2,1:34,off in public,chris,dreb,,
2,1:44,off in public,chris,2pt_made,,
2,2:00,ballers united,player14,turnover,,
2,2:27,off in public,chris,2pt_attempt,,
2,2:42,ballers united,cheihk,3pt_made,kelo,
2,3:00,off in public,kelo,2pt_attempt,,
2,3:10,ballers united,player2,2pt_attempt,kelo,
2,3:11,ballers united,player2,oreb,,
2,3:12,ballers united,player2,2pt_attempt,kelo,
2,3:20,off in public,chris,block,,
2,3:28,off in public,chris,2pt_attempt,,
2,3:30,ballers united,player14,dreb,,
2,3:37,ballers united,player6,3pt_attempt,kelo,
2,3:40,off in public,ev,dreb,,
2,3:41,off in public,ev,assist,,
2,3:44,off in public,eman,2pt_made,,
2,3:55,ballers united,cheihk,2pt_attempt,kelo,
2,3:57,off in public,chris,dreb,,
2,4:00,off in public,ev,2pt_made,,
2,4:14,ballers united,team,timeout,,
2,5:04,off in public,kelo,checked_out,,
2,5:04,off in public,pope,checked_in,,
2,5:04,ballers united,,timestart,,
2,5:23,ballers united,player14,2pt_made,chris,
2,5:35,off in public,eman,2pt_made,,
2,5:50,ballers united,chiehk ,3pt_attempt,eman,
2,5:52,off in public,pope,dreb,,
2,6:25,off in public,tariq,2pt_attempt,,
