Half,time,team,player,event,against,notes,half
1,0.00,0,ev,checked_in,,,
1,0.00,0,ryan,checked_in,,,
1,0.00,0,tariq,checked_in,,,
1,0.00,0,kelo,checked_in,,,
1,0.00,0,dylan,checked_in,,,
1,1.55,0,kelo,3pt_attempt,,,
1,1.57,1,player1,dreb,,,
1,2.02,1,player4,3pt_attempt,,,
1,2.07,0,ev,assist,,,
1,2.08,0,tariq,3pt_made,,,
1,3.08,1,jacoby,2pt_attempt,,,
1,3.09,0,kelo,dreb,,,
1,3.17,0,dylan,turnover,,,
1,3.18,1,player7,steal,,,
1,3.27,1,ivan,2pt_attempt,22,,
1,3.28,0,ev,dreb,,,
1,3.30,0,ev,assist,,,
1,3.32,0,ryan,2pt_made,,,
1,3.45,1,player4,2pt_attempt,,,
1,3.47,0,ev,dreb,,,
1,3.52,0,ryan,turnover,,,
1,3.53,1,ivan,steal,,,
1,4.01,1,jacoby,2pt_attempt,,,
1,4.02,0,ev,dreb,,,
1,4.07,0,ev,3pt_attempt,,,
1,4.08,0,ryan,oreb,,,
1,4.09,0,ryan,2pt_attempt,,,
1,4.10,0,ryan,oreb,,,
1,4.24,0,tariq,3pt_attempt,,,
1,4.25,0,dylan,oreb,,,
1,5.12,0,dylan,ft_made,,,
1,5.25,0,dylan,ft_attempt,,,
1,5.27,0,tariq,oreb,,,
1,5.56,1,player7,2pt_made,,,
1,6.20,,,FULL SUB,,,
1,6.35,1,player7,ft_attempt,,,
1,6.36,0,pope,dreb,,,
1,6.58,0,pope,steal,,chris poke,
1,7.08,0,eman,turnover,,,
1,7.17,1,player4,3pt_attempt,,,
1,7.18,0,pope,dreb,,,
1,7.33,0,pope,2pt_attempt,,,
1,7.34,0,chris,oreb,,,
1,7.35,0,chris,2pt_made,,,
1,7.50,1,player4,3pt_attempt,,,
1,7.54,0,joey,dreb,,,
1,8.00,0,chris,2pt_attempt,,,
1,8.01,0,chris,oreb,,,
1,8.04,0,jeff,3pt_attempt,,,
1,8.05,0,chris,oreb,,,
1,8.09,0,joey,3pt_made,,,
1,8.23,1,ivan,3pt_attempt,10,,
1,8.27,1,player4,3pt_attempt,,,
1,8.36,1,player6,3pt_made,,black shooter,
1,8.51,0,joey,2pt_attempt,,,
1,8.52,1,player1,dreb,,,
1,9.18,0,jeff,steal,,,
1,9.21,0,jeff,turnover,,,
1,9.25,0,chris,steal,,,
1,10.50,0,pope,turnover,,,
1,10.58,1,jacoby,2pt_attempt,,,
1,10.59,0,eman,dreb,,,
1,11.05,0,chris,2pt_attempt,,,
1,11.10,1,player1,3pt_attempt,,,
1,11.14,0,chris,dreb,,,
1,11.30,0,jeff,3pt_attempt,,,
1,11.38,0,chris,oreb,,,
1,12.05,0,chris,ft_made,,,
1,12.15,0,chris,ft_made,,,
1,12.38,1,player6,turnover,,pope forced to,
1,13.02,0,dylan,2pt_attempt,,,
1,13.07,1,player6,turnover,,,
1,13.25,0,kelo,assist,,,
1,13.26,0,ryan,3pt_made,,,
1,13.34,1,player1,2pt_attempt,,,
1,13.35,0,dylan,dreb,,,
1,13.39,0,kelo,2pt_attempt,,,
1,13.40,1,player7,dreb,,,
1,13.46,1,jacoby,2pt_attempt,,,
1,13.54,0,tariq,3pt_made,,,
1,14.03,0,ev,foul,,,
1,14.22,1,ivan,ft_made,,,
1,14.32,1,ivan,ft_made,,,
1,14.53,0,kelo,turnover,,,
1,15.13,1,player1,2pt_attempt,,,
1,15.14,0,ev,dreb,,,
1,15.18,0,ev,2pt_attempt,,,
1,15.20,0,ev,oreb,,,
1,15.21,0,ev,2pt_attempt,,,
1,15.22,0,ev,oreb,,,
1,15.23,0,ev,2pt_attempt,,,
1,15.24,0,ev,oreb,,,
1,15.29,0,ev,2pt_attempt,,,
1,15.38,1,jacoby,3pt_attempt,,,
1,15.39,1,ivan,oreb,,,
1,15.40,1,ivan,assist,,,
1,15.41,1,jacoby,2pt_made,,,
1,15.57,0,ryan,2pt_attempt,,,
1,15.59,1,player1,dreb,,,
1,16.17,0,dylan,steal,,,
1,16.28,0,ev,3pt_attempt,,,
1,16.29,1,player1,dreb,,,
1,16.33,1,jacoby,2pt_attempt,,,
1,16.34,0,ev,dreb,,,
1,17.00,0,dylan,ft_made,,,
1,17.10,0,dylan,ft_made,,,
1,17.30,1,player6,3pt_attempt,,,
1,17.31,0,ev,dreb,,,
1,17.38,0,ev,2pt_attempt,,,
1,17.41,0,ev,oreb,,,
1,17.44,0,ryan,assist,,,
1,17.45,0,ev,2pt_made,,,
1,17.56,0,tariq,steal,,,
1,18.01,0,tariq,3pt_attempt,,,
1,18.16,0,dylan,assist,,,
1,18.17,0,kelo,2pt_made,,,
1,18.25,1,ivan,3pt_made,,,
1,18.34,0,kelo,3pt_made,,,
1,18.45,1,,timeout,,,
1,19.04,1,jacoby,3pt_attempt,,,
1,19.05,0,jeff,dreb,,,
1,19.15,0,eman,turnover,,,
1,19.17,0,pope,foul,,,
1,19.50,1,ivan,ft_made,,,
1,19.59,1,ivan,ft_made,,,
1,20.09,1,ivan,ft_attempt,,,
1,20.10,0,pope,dreb,,,
