Half,time,team,player,event,against,notes
1,0:01,0,evan,steal,,firmware update
1,0:02,0,evan,2pt_made,,firmware update
1,0:03,0,evan,2pt_made,,firmware update
1,0:04,0,evan,3pt_made,,firmware update
1,0:05,0,chris,steal,,firmware update
1,0:06,0,chris,2pt_made,,firmware update
1,0:07,0,chris,2pt_made,,firmware update
1,0:19,1,11,3pt_attempt,,
1,0:20,0,pope,dreb,,
1,0:30,0,pope,2pt_attempt,,
1,0:31,1,31,dreb,,
1,0:44,1,3,3pt_made,,
1,0:49,0,chris,2pt_attempt,,
1,0:51,0,dom,steal,,
1,1:04,0,pope,2pt_attempt,,
1,1:07,0,dom,dreb,,
1,1:36,0,chris,2pt_attempt,,
1,1:37,1,11,dreb,,
1,1:47,1,11,2pt_attempt,,
1,1:48,0,chris,dreb,,
1,1:49,0,pope,2pt_attempt,,
1,1:50,0,chris,oreb,,
1,1:51,0,chris,2pt_made,,
1,1:58,0,chris,steal,,eli deflection
1,2:00,0,chris,2pt_made,,
1,2:18,0,chris,dreb,,
1,2:27,0,woni,3pt_attempt,,
1,2:28,1,11,dreb,,
1,3:00,0,pope,assist,,
1,3:01,0,eli,2pt_made,,
1,3:10,1,00,3pt_attempt,,
1,3:11,0,eli,dreb,,
1,3:16,0,chris,2pt_attempt,,
1,3:17,0,pope,oreb,,
1,3:18,0,pope,2pt_made,,
1,3:29,1,13,3pt_attempt,,
1,3:57,0,eli,3pt_attempt,,
1,3:58,0,woni,oreb,,
1,3:59,0,woni,assist,,
1,4:00,0,chris,2pt_made,,
1,4:14,0,pope,steal,,
1,4:15,0,pope,turnover,,
1,4:30,0,woni,2pt_attempt,,
1,4:32,0,woni,2pt_attempt,,
1,4:35,0,pope,oreb,,
1,4:46,0,woni,assist,,
1,4:47,0,cody,2pt_made,,
1,4:58,1,3,2pt_made,,
1,5:07,0,cody,3pt_attempt,,
1,5:08,0,chris,oreb,,
1,5:09,0,chris,2pt_attempt,,
1,5:19,0,chris,block,,
1,5:22,0,pope,dreb,,
1,5:23,0,pope,turnover,,
1,5:57,1,3,3pt_made,,
1,6:08,0,evan,2pt_attempt,,
1,6:09,0,evan,oreb,,
1,6:11,0,evan,2pt_made,,
1,6:20,1,3,3pt_attempt,,
1,6:21,0,woni,dreb,,
1,6:30,0,cody,2pt_attempt,,
1,6:31,0,woni,oreb,,
1,6:53,0,tyriq,3pt_attempt,,
1,7:04,1,00,3pt_made,,
1,7:18,0,tyriq,2pt_attempt,,
1,7:22,1,4,3pt_made,,they seriously banked more than they made intentionally
1,7:56,0,tyriq,ft_made,,
1,8:00,0,tyriq,ft_made,,
1,8:42,0,dom,steal,,dante deflection
1,8:48,0,dante,3pt_attempt,,
1,8:57,1,31,3pt_attempt,,
1,8:59,0,evan,dreb,,
1,9:07,0,woni,3pt_attempt,,
1,9:08,1,11,dreb,,
1,9:18,0,evan,steal,,
