player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
1,11,1,2,1,4,3,0,0,0.55,0,0,1,0,0,0,0,5.294117647058824
5,14,2,3,3,4,2,0,2,0.5,0,0,2,0,0,0,0,6.428571428571428
11,2,1,1,1,2,0,0,0,0.25,0,0,1,0,0,0,0,0
14,3,0,0,0,0,1,0,0,1.5,0,0,0,0,0,0,0,15
22,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
23,11,0,0,1,2,3,0,0,0.9166666666666666,0,0,0,0,0,0,0,10.384615384615385
27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-15
29,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,15
50,7,3,1,2,0,0,1,3,0.6666666666666666,0,1,2,0,0,0,2,10.5
jared,11,8,7,2,3,2,2,1,0.35714285714285715,0,3,5,0,0,1,1,6.136363636363637
eman's guy,6,3,7,1,2,0,2,4,0.1,0,2,1,2,2,2,0,6
eman,12,5,1,2,3,2,2,2,0.625,0,1,4,2,1,0,2,11.666666666666666
---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15
pope,10,8,2,2,0,1,1,3,0.7,0,7,1,2,3,1,7,11.842105263157896
bald guy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-15
chosen,7,5,7,3,2,0,4,1,0.25,0,5,0,0,3,1,2,4.166666666666667
cordell,8,9,2,1,2,1,1,3,0.4166666666666667,0,0,9,1,2,1,2,16.07142857142857
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
