player,games_played,total_points,total_rebounds,total_2pt_attempts,total_2pt_made,total_3pt_attempts,total_3pt_made,total_ft_attempts,total_ft_made,total_offensive_rebounds,total_defensive_rebounds,total_assists,total_steals,total_blocks,total_turnovers,avg_points,avg_rebounds,avg_2pt_attempts,avg_2pt_made,avg_3pt_attempts,avg_3pt_made,avg_ft_attempts,avg_ft_made,avg_offensive_rebounds,avg_defensive_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_eFG,avg_trueShooting,avg_PER
tc,6,120,33,23,30,23,17,2,9,10,23,20,15,4,6,20.00,5.50,3.83,5.00,3.83,2.83,0.33,1.50,1.67,3.83,3.33,2.50,0.67,1.00,0.6112,0.6525,12.33
chris,8,96,61,35,45,0,0,6,6,26,35,14,14,4,4,12.00,7.63,4.38,5.63,0.00,0.00,0.75,0.75,3.25,4.38,1.75,1.75,0.50,0.50,0.5742,0.5907,18.09
kelo,7,71,10,20,16,32,10,3,9,4,6,15,3,0,7,10.14,1.43,2.86,2.29,4.57,1.43,0.43,1.29,0.57,0.86,2.14,0.43,0.00,1.00,0.4408,0.5135,5.42
dylan,7,64,47,12,18,12,6,2,10,14,33,3,10,5,4,9.14,6.71,1.71,2.57,1.71,0.86,0.29,1.43,2.00,4.71,0.43,1.43,0.71,0.57,0.5911,0.6897,15.41
tyriq,4,54,20,8,15,17,6,5,6,3,17,4,5,1,6,13.50,5.00,2.00,3.75,4.25,1.50,1.25,1.50,0.75,4.25,1.00,1.25,0.25,1.50,0.5410,0.5738,9.72
riqq,6,44,16,9,9,18,8,0,2,2,14,4,10,1,5,7.33,2.67,1.50,1.50,3.00,1.33,0.00,0.33,0.33,2.33,0.67,1.67,0.17,0.83,0.4606,0.4844,8.82
tariq,4,42,21,3,11,12,5,2,5,6,15,11,2,1,6,10.50,5.25,0.75,2.75,3.00,1.25,0.50,1.25,1.50,3.75,2.75,0.50,0.25,1.50,0.6554,0.7096,13.13
pope,8,28,38,14,9,6,3,4,1,9,29,12,8,2,9,3.50,4.75,1.75,1.13,0.75,0.38,0.50,0.13,1.13,3.63,1.50,1.00,0.25,1.13,0.4524,0.4278,12.85
evan,3,28,10,6,10,12,2,0,2,3,7,2,3,4,3,9.33,3.33,2.00,3.33,4.00,0.67,0.00,0.67,1.00,2.33,0.67,1.00,1.33,1.00,0.4661,0.4857,10.36
ryan,6,16,10,3,3,10,3,1,1,1,9,8,4,0,6,2.67,1.67,0.50,0.50,1.67,0.50,0.17,0.17,0.17,1.50,1.33,0.67,0.00,1.00,0.1759,0.1791,7.29
kareem,1,16,2,1,4,2,2,0,2,0,2,2,1,0,0,16.00,2.00,1.00,4.00,2.00,2.00,0.00,2.00,0.00,2.00,2.00,1.00,0.00,0.00,0.7778,0.8889,14.77
jeff,3,14,8,3,5,4,1,1,1,5,3,1,2,4,0,4.67,2.67,1.00,1.67,1.33,0.33,0.33,0.33,1.67,1.00,0.33,0.67,1.33,0.00,0.4778,0.4976,16.00
chosen,8,11,25,6,4,8,0,5,3,7,18,2,1,0,8,1.38,3.13,0.75,0.50,1.00,0.00,0.63,0.38,0.88,2.25,0.25,0.13,0.00,1.00,0.2396,0.2752,11.17
dom,2,6,15,4,3,2,0,0,0,5,10,4,1,0,0,3.00,7.50,2.00,1.50,1.00,0.00,0.00,0.00,2.50,5.00,2.00,0.50,0.00,0.00,0.3929,0.3929,23.14
zach,1,3,1,2,0,0,1,0,0,0,1,1,0,0,0,3.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.5000,0.5000,8.00
eman,1,2,2,2,1,0,0,0,0,0,2,1,0,0,0,2.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.3333,0.3333,10.67
